"","beg","end","IBI","len","durn","mean.isis","SI"
"1",1,43,NA,43,0.0265,0.000616279069767442,1
"2",44,75,0.066,32,0.0304,0.000950000000000001,1
"3",76,100,0.0847,25,0.021,0.000839999999999999,1
"4",101,140,0.2822,40,0.029,0.000725000000000001,1
"5",141,146,0.0327999999999999,6,0.00890000000000002,0.00148333333333334,1
"6",147,169,0.1017,23,0.0198,0.000860869565217393,1
"7",170,257,0.189,88,0.0580999999999998,0.000660227272727271,1
"8",258,287,0.2802,30,0.0232000000000001,0.000773333333333337,1
"9",288,319,0.2005,32,0.0291000000000001,0.000909375000000004,1
"10",320,359,0.1266,40,0.0395999999999999,0.000989999999999997,1
"11",360,388,0.0608,29,0.0306000000000002,0.00105517241379311,1
"12",389,444,0.3134,56,0.0381999999999998,0.000682142857142853,1
"13",445,464,0.2504,20,0.0189999999999997,0.000949999999999984,1
"14",465,490,0.174,26,0.0252000000000003,0.000969230769230782,1
"15",491,526,0.137,36,0.0290999999999997,0.000808333333333325,1
"16",527,545,0.1208,19,0.0228000000000002,0.00120000000000001,1
"17",546,583,0.1091,38,0.0436999999999999,0.00115,1
"18",584,617,0.3197,34,0.0257000000000001,0.000755882352941178,1
"19",620,643,0.2613,24,0.0314999999999999,0.00131249999999999,1
"20",645,658,0.0663,14,0.0228000000000002,0.00162857142857144,1
"21",659,689,0.2987,31,0.0156999999999998,0.00050645161290322,1
"22",690,694,0.0738000000000003,5,0.00490000000000013,0.000980000000000025,1
"23",695,716,0.0796999999999999,22,0.0289000000000001,0.00131363636363637,1
"24",717,719,0.0274000000000001,3,0.00760000000000005,0.00253333333333335,1
"25",720,756,0.2212,37,0.0411000000000001,0.00111081081081081,1
"26",757,779,0.3478,23,0.0206999999999997,0.000899999999999988,1
"27",780,853,0.0563000000000002,74,0.0466999999999995,0.000631081081081075,1
"28",854,868,0.0875000000000004,15,0.0148000000000001,0.000986666666666676,1
"29",869,895,0.1483,27,0.0287999999999995,0.00106666666666665,1
"30",896,944,0.663,49,0.0218999999999996,0.000446938775510196,1
"31",945,970,0.192500000000001,26,0.0221999999999998,0.000853846153846145,1
"32",971,992,0.1804,22,0.0137999999999998,0.000627272727272719,1
"33",993,1047,0.1878,55,0.0487000000000002,0.000885454545454549,1
"34",1049,1073,0.3256,25,0.0188000000000006,0.000752000000000024,1
"35",1074,1090,0.273899999999999,17,0.0195000000000007,0.00114705882352946,1
"36",1091,1125,0.1389,35,0.0270999999999999,0.000774285714285712,1
"37",1130,1154,0.0993000000000004,25,0.0211999999999994,0.000847999999999978,1
"38",1155,1183,0.0926,29,0.0592000000000006,0.00204137931034485,1
"39",1184,1272,0.151199999999999,89,0.043400000000001,0.000487640449438213,1
"40",1276,1301,0.202199999999999,26,0.0267999999999997,0.00103076923076922,1
"41",1302,1335,0.1287,34,0.0288000000000004,0.000847058823529423,1
"42",1336,1365,0.309899999999999,30,0.0190000000000001,0.000633333333333338,1
"43",1366,1392,0.192400000000001,27,0.0191999999999997,0.000711111111111099,1
"44",1393,1423,0.140599999999999,31,0.0241000000000007,0.000777419354838732,1
"45",1424,1440,0.2193,17,0.0151000000000003,0.000888235294117667,1
"46",1441,1538,0.2928,98,0.0820999999999987,0.000837755102040803,1
"47",1539,1576,0.0186000000000011,38,0.0510000000000002,0.0013421052631579,1
"48",1579,1620,0.445599999999999,42,0.0442,0.00105238095238095,1
"49",1621,1662,0.2697,42,0.0351999999999997,0.00083809523809523,1
"50",1663,1696,0.0849000000000011,34,0.0458999999999996,0.00134999999999999,1
"51",1697,1738,0.333,42,0.0234000000000005,0.00055714285714287,1
"52",1739,1757,0.217099999999999,19,0.0173000000000005,0.000910526315789502,1
"53",1758,1809,0.326499999999999,52,0.0269000000000013,0.000517307692307716,1
"54",1810,1814,0.0465,5,0.0044000000000004,0.000880000000000081,1
"55",1815,1844,0.5633,30,0.0191999999999997,0.000639999999999989,1
