"","beg","end","IBI","len","durn","mean.isis","SI"
"1",1,2,NA,2,1.3948,1.3948,0.5
"2",3,4,2.5258,2,0.1525,0.1525,0.5
"3",5,21,0.5883,17,0.184399999999999,0.011525,0.5
"4",22,23,1.8919,2,1.0728,1.0728,0.5
"5",24,25,1.0959,2,0.274099999999999,0.274099999999999,0.5
"6",26,27,1.2562,2,0.420300000000001,0.420300000000001,0.5
"7",28,78,0.8017,51,0.335799999999999,0.00671599999999998,0.5
"8",79,80,4.1006,2,3.8683,3.8683,0.5
"9",81,83,0.297700000000003,3,0.8903,0.44515,0.5
"10",84,85,0.203499999999998,2,0.0820000000000007,0.0820000000000007,0.5
"11",86,87,0.196300000000001,2,0.9986,0.9986,0.5
"12",88,154,0.00229999999999819,67,0.4406,0.00667575757575757,0.5
"13",155,156,3.6539,2,2.1029,2.1029,0.5
"14",157,158,0.4039,2,0.00109999999999744,0.00109999999999744,0.5
"15",159,163,1.9418,5,3.3093,0.827325,0.5
"16",164,185,2.8689,22,0.122999999999998,0.00585714285714274,0.5
"17",186,200,2.9154,15,0.0865000000000009,0.00617857142857149,0.5
"18",201,202,2.9291,2,0.242800000000003,0.242800000000003,0.5
"19",203,230,0.00169999999999959,28,0.1248,0.00462222222222224,0.5
"20",231,232,2.4545,2,0.0307000000000031,0.0307000000000031,0.5
"21",233,234,3.5276,2,2.6763,2.6763,0.5
"22",235,243,1.9247,9,0.0515000000000043,0.00643750000000054,0.5
"23",244,299,0.00369999999999493,56,0.429700000000004,0.00781272727272734,0.5
"24",300,301,2.9834,2,0.987400000000001,0.987400000000001,0.5
"25",302,303,1.9947,2,0.00139999999999674,0.00139999999999674,0.5
"26",304,305,2.23670000000001,2,0.159999999999997,0.159999999999997,0.5
"27",306,307,3.7968,2,2.63629999999999,2.63629999999999,0.5
"28",308,309,0.850500000000011,2,0.392499999999998,0.392499999999998,0.5
"29",311,324,0.0298999999999978,14,0.029200000000003,0.00224615384615408,0.5
"30",325,378,0.00319999999999254,54,0.863900000000001,0.0163,0.5
