"","beg","end","IBI","len","durn","mean.isis","SI"
"1",1,36,NA,36,0.365,0.0104285714285714,1
"2",37,71,3.8124,35,0.2899,0.0085264705882353,1
"3",72,105,3.2194,34,0.3887,0.0117787878787879,1
"4",106,136,2.0815,31,0.253599999999999,0.00845333333333329,1
"5",137,174,3.1801,38,0.3141,0.00848918918918918,1
"6",175,207,2.9461,33,0.314900000000002,0.00984062500000005,1
"7",208,246,4.572,39,0.4209,0.0110763157894737,1
"8",247,284,3.3354,38,0.338200000000001,0.00914054054054055,1
"9",285,317,2.3021,33,0.332000000000001,0.010375,1
"10",318,351,2.981,34,0.253500000000003,0.00768181818181826,1
"11",352,357,0.3095,6,0.0129000000000019,0.00258000000000038,1
"12",358,400,2.3582,43,0.530500000000004,0.0126309523809525,1
"13",401,436,2.98909999999999,36,0.446600000000004,0.0127600000000001,1
"14",437,465,2.1729,29,0.172400000000003,0.00615714285714297,1
"15",466,498,2.5627,33,0.304299999999998,0.00950937499999993,1
"16",499,519,1.6804,21,0.2821,0.014105,1
"17",520,557,2.4774,38,0.408999999999999,0.011054054054054,1
"18",558,583,2.4943,26,0.184199999999997,0.00736799999999988,1
"19",584,612,2.2982,29,0.223100000000002,0.00796785714285722,1
"20",613,646,2.427,34,0.262299999999996,0.00794848484848473,1
"21",647,671,1.5907,25,0.163000000000004,0.00679166666666683,1
"22",672,702,1.7789,31,0.241199999999999,0.00803999999999997,1
"23",703,730,2.629,28,0.4114,0.0152370370370371,1
"24",731,764,2.5514,34,0.389599999999987,0.0118060606060602,1
"25",765,793,2.52000000000001,29,0.325800000000001,0.0116357142857143,1
"26",794,827,2.74029999999999,34,0.337100000000007,0.0102151515151517,1
"27",828,871,3.64279999999999,44,0.281700000000001,0.00655116279069769,1
"28",872,902,2.09830000000001,31,0.238,0.00793333333333332,1
"29",903,936,1.81519999999999,34,0.264200000000002,0.00800606060606068,1
"30",937,964,2.8916,28,0.533100000000005,0.0197444444444446,1
"31",965,1006,3.2103,42,0.378500000000003,0.00923170731707323,1
"32",1007,1045,2.68799999999999,39,0.392600000000002,0.0103315789473685,1
"33",1046,1075,2.75290000000001,30,0.299899999999994,0.0103413793103446,1
"34",1076,1115,3.8237,40,0.548699999999997,0.0140692307692307,1
"35",1116,1146,2.7959,31,0.334499999999991,0.0111499999999997,1
"36",1147,1177,2.17490000000001,31,0.280999999999992,0.00936666666666639,1
"37",1178,1209,2.67590000000001,32,0.310999999999993,0.0100322580645159,1
