"","beg","end","IBI","len","durn","mean.isis","SI"
"1",3,30,NA,28,0.00839999999999999,0.000311111111111111,4.60517018598809
"2",102,133,0.5045,32,0.0104,0.000335483870967741,4.60517018598809
"3",178,225,0.3705,48,0.0116000000000001,0.000246808510638299,4.60517018598809
"4",392,432,1.1508,41,0.0112000000000001,0.000280000000000002,4.60517018598809
"5",670,680,1.9858,11,0.00260000000000016,0.000260000000000016,4.60517018598809
"6",783,836,0.9186,54,0.0137,0.000258490566037737,4.60517018598809
"7",903,936,0.9778,34,0.0102000000000002,0.000309090909090915,4.60517018598809
"8",1018,1041,0.638599999999999,24,0.00680000000000014,0.00029565217391305,4.60517018598809
"9",1187,1255,1.2365,69,0.0186999999999991,0.000274999999999986,4.60517018598809
"10",1444,1504,1.6453,61,0.0145999999999997,0.000243333333333329,4.60517018598809
"11",1701,1732,1.3962,32,0.0106999999999999,0.000345161290322578,4.60517018598809
"12",1769,1798,0.577400000000001,30,0.00779999999999959,0.000268965517241365,4.60517018598809
"13",1959,2012,1.8672,54,0.0135999999999985,0.000256603773584877,4.60517018598809
"14",2085,2109,0.818200000000001,25,0.00879999999999903,0.000366666666666626,4.60517018598809
"15",2283,2292,2.1707,10,0.00220000000000198,0.000244444444444664,4.60517018598809
"16",2336,2353,0.277899999999999,18,0.00570000000000093,0.000335294117647113,4.60517018598809
"17",2362,2406,0.646899999999999,45,0.0115000000000016,0.000261363636363673,4.60517018598809
"18",2498,2522,0.821299999999997,25,0.00710000000000122,0.000295833333333384,4.60517018598809
"19",2595,2602,0.810600000000001,8,0.00169999999999959,0.000242857142857084,4.60517018598809
"20",2636,2709,0.2394,74,0.0166000000000004,0.000227397260273978,4.60517018598809
"21",2710,2750,0.00120000000000076,41,0.0143999999999984,0.00035999999999996,4.60517018598809
"22",2853,2928,0.553599999999999,76,0.0198,0.000264000000000001,4.60517018598809
"23",2993,3016,0.271699999999999,24,0.00760000000000005,0.000330434782608698,4.60517018598809
"24",3104,3170,0.814,67,0.0150000000000006,0.000227272727272736,4.60517018598809
"25",3222,3250,0.747,29,0.00670000000000215,0.000239285714285791,4.60517018598809
"26",3301,3321,0.698999999999998,21,0.00540000000000163,0.000270000000000081,4.60517018598809
"27",3392,3419,0.922599999999999,28,0.00779999999999959,0.000288888888888874,4.60517018598809
"28",3551,3569,1.699,19,0.00549999999999784,0.000305555555555436,4.60517018598809
"29",3574,3579,0.00370000000000203,6,0.000999999999997669,0.000199999999999534,4.60517018598809
"30",3803,3852,2.4349,50,0.0127999999999986,0.00026122448979589,4.60517018598809
"31",3889,3918,0.407699999999998,30,0.00700000000000145,0.000241379310344878,4.60517018598809
"32",3971,4000,0.7697,30,0.0066999999999986,0.000231034482758572,4.60517018598809
"33",4025,4042,0.432000000000002,18,0.00600000000000023,0.000352941176470602,4.60517018598809
"34",4055,4074,0.513400000000001,20,0.00569999999999737,0.000299999999999862,4.60517018598809
"35",4142,4156,0.734500000000001,15,0.00420000000000087,0.000300000000000062,4.60517018598809
"36",4177,4230,1.0523,54,0.0154999999999994,0.000292452830188668,4.60517018598809
"37",4294,4319,0.549200000000003,26,0.00739999999999696,0.000295999999999879,4.60517018598809
"38",4457,4485,1.2474,29,0.00619999999999976,0.000221428571428563,4.60517018598809
"39",4505,4530,0.2333,26,0.00840000000000174,0.00033600000000007,4.60517018598809
"40",4540,4544,0.2896,5,0.000799999999998136,0.000199999999999534,4.60517018598809
"41",4565,4575,0.299200000000006,11,0.00289999999999679,0.000289999999999679,4.60517018598809
"42",4729,4780,1.3876,52,0.0140999999999991,0.000276470588235277,4.60517018598809
"43",4829,4857,0.808,29,0.00650000000000261,0.000232142857142951,4.60517018598809
"44",4888,4909,0.399799999999999,22,0.00630000000000308,0.000300000000000147,4.60517018598809
"45",4945,4974,0.5319,30,0.0102999999999938,0.000355172413792888,4.60517018598809
"46",5036,5082,0.988400000000006,47,0.0114999999999981,0.000249999999999958,4.60517018598809
"47",5112,5119,0.252499999999998,8,0.00160000000000338,0.000228571428571911,4.60517018598809
"48",5181,5189,0.507399999999997,9,0.00209999999999866,0.000262499999999832,4.60517018598809
"49",5208,5230,0.338000000000001,23,0.00780000000000314,0.000354545454545597,4.60517018598809
"50",5261,5284,0.951000000000001,24,0.00649999999999551,0.000282608695651979,4.60517018598809
"51",5290,5311,0.0593000000000004,22,0.00769999999999982,0.000366666666666658,4.60517018598809
