"","beg","end","IBI","len","durn","mean.isis","SI"
"1",87,130,NA,44,0.1252,0.00291162790697673,1
"2",235,275,31.6366,41,0.145800000000001,0.00364500000000003,1
"3",309,354,16.3788,46,0.137699999999995,0.00305999999999989,1
"4",403,445,23.679,43,0.134699999999995,0.00320714285714274,1
"5",476,518,17.2596,43,0.1143,0.00272142857142857,1
"6",552,589,15.6127,38,0.091399999999993,0.00247027027027008,1
"7",637,669,19.5355,33,0.0869000000000142,0.00271562500000044,1
"8",714,757,21.1857,44,0.113399999999984,0.00263720930232522,1
"9",807,845,20.3641,39,0.121000000000009,0.00318421052631603,1
"10",876,904,15.7422,29,0.0975999999999999,0.00348571428571428,1
"11",936,977,19.1575,42,0.118599999999986,0.00289268292682894,1
"12",1038,1082,20.8609,45,0.503599999999977,0.011445454545454,1
"13",1123,1156,17.0687,34,0.0789999999999509,0.00239393939393791,1
"14",1206,1241,17.265,36,0.0890999999999735,0.00254571428571353,1
"15",1275,1288,16.4155,14,0.486499999999978,0.0374230769230752,1
