"","beg","end","IBI","len","durn","mean.isis","SI"
"1",1,35,NA,35,0.2374,0.00698235294117648,1
"2",37,68,3.94,32,0.1779,0.00573870967741936,1
"3",69,71,0.0802999999999994,3,0.0317000000000007,0.0158500000000004,1
"4",72,103,3.2194,32,0.187799999999999,0.00605806451612901,1
"5",106,136,2.2824,31,0.253599999999999,0.00845333333333329,1
"6",137,172,3.1801,36,0.2151,0.00614571428571428,1
"7",175,206,3.0451,32,0.227,0.0073225806451613,1
"8",208,243,4.6599,36,0.227599999999999,0.00650285714285711,1
"9",247,282,3.5287,36,0.217500000000001,0.00621428571428575,1
"10",285,314,2.4228,30,0.210899999999999,0.00727241379310341,1
"11",315,317,0.0796000000000028,3,0.0414999999999992,0.0207499999999996,1
"12",318,350,2.981,33,0.173999999999999,0.00543749999999998,1
"13",352,357,0.389000000000003,6,0.0129000000000019,0.00258000000000038,1
"14",358,393,2.3582,36,0.276899999999998,0.00791142857142851,1
"15",394,400,0.2273,7,0.0263000000000062,0.00438333333333437,1
"16",401,435,2.98909999999999,35,0.2697,0.00793235294117648,1
"17",437,465,2.3498,29,0.172400000000003,0.00615714285714297,1
"18",466,497,2.5627,32,0.1905,0.00614516129032258,1
"19",499,518,1.7942,20,0.180300000000003,0.00948947368421066,1
"20",520,553,2.5792,34,0.190199999999997,0.00576363636363628,1
"21",558,583,2.7131,26,0.184199999999997,0.00736799999999988,1
"22",584,612,2.2982,29,0.223100000000002,0.00796785714285722,1
"23",613,645,2.427,33,0.1905,0.005953125,1
"24",647,671,1.66249999999999,25,0.163000000000004,0.00679166666666683,1
"25",672,701,1.7789,30,0.160599999999995,0.00553793103448259,1
"26",703,727,2.70960000000001,25,0.168999999999997,0.00704166666666654,1
"27",728,730,0.197199999999995,3,0.0452000000000083,0.0226000000000042,1
"28",731,761,2.5514,31,0.2607,0.00869,1
"29",762,764,0.0914999999999964,3,0.037399999999991,0.0186999999999955,1
"30",765,787,2.52000000000001,23,0.14739999999999,0.00669999999999956,1
"31",788,793,0.0798000000000059,6,0.0986000000000047,0.0197200000000009,1
"32",794,824,2.74029999999999,31,0.190200000000004,0.00634000000000015,1
"33",825,827,0.0969999999999942,3,0.049900000000008,0.024950000000004,1
"34",828,871,3.64279999999999,44,0.281700000000001,0.00655116279069769,1
"35",872,901,2.09830000000001,30,0.131999999999991,0.00455172413793072,1
"36",903,936,1.9212,34,0.264200000000002,0.00800606060606068,1
"37",937,962,2.8916,26,0.144800000000004,0.00579200000000014,1
"38",965,1000,3.5986,36,0.20689999999999,0.00591142857142829,1
"39",1003,1006,0.15440000000001,4,0.0172000000000025,0.00573333333333418,1
"40",1007,1043,2.68799999999999,37,0.170100000000005,0.00472500000000014,1
"41",1046,1073,2.97540000000001,28,0.148399999999995,0.00549629629629612,1
"42",1076,1110,3.9752,35,0.214399999999998,0.00630588235294111,1
"43",1116,1145,3.1302,30,0.244,0.00841379310344827,1
"44",1147,1177,2.2654,31,0.280999999999992,0.00936666666666639,1
"45",1178,1206,2.67590000000001,29,0.154199999999989,0.00550714285714246,1
"46",1210,1249,2.63380000000001,40,0.26509999999999,0.00679743589743563,1
"47",1250,1282,2.72110000000001,33,0.287499999999994,0.00898437499999982,1
"48",1284,1312,1.93350000000001,29,0.145399999999995,0.00519285714285697,1
"49",1315,1344,2.47580000000001,30,0.173699999999997,0.00598965517241368,1
"50",1347,1373,2.2234,27,0.150800000000004,0.00580000000000015,1
"51",1374,1403,3.3613,30,0.178600000000003,0.00615862068965527,1
"52",1406,1439,3.46269999999998,34,0.174300000000017,0.00528181818181868,1
"53",1443,1485,3.4151,43,0.294099999999986,0.00700238095238062,1
"54",1486,1522,3.7107,37,0.229399999999998,0.00637222222222217,1
"55",1523,1556,2.91200000000001,34,0.184100000000001,0.0055787878787879,1
"56",1557,1562,0.272400000000005,6,0.0233000000000061,0.00466000000000122,1
"57",1563,1570,0.98429999999999,8,0.0312000000000126,0.00445714285714465,1
"58",1571,1576,0.0557999999999765,6,0.0371000000000095,0.00742000000000189,1
"59",1577,1619,4.387,43,0.299599999999998,0.00713333333333329,1
"60",1620,1627,0.924800000000005,8,0.0818999999999903,0.0116999999999986,1
"61",1628,1658,3.28640000000001,31,0.151499999999999,0.00504999999999995,1
"62",1660,1662,0.1721,3,0.0253999999999905,0.0126999999999953,1
"63",1663,1693,2.9255,31,0.178300000000007,0.00594333333333357,1
"64",1695,1724,3.09639999999999,30,0.162000000000006,0.00558620689655194,1
"65",1728,1759,2.4923,32,0.168900000000008,0.00544838709677445,1
"66",1762,1802,2.6292,41,0.233399999999989,0.00583499999999972,1
"67",1803,1838,3.834,36,0.196600000000018,0.00561714285714337,1
"68",1840,1876,4.29919999999998,37,0.184500000000014,0.00512500000000039,1
"69",1880,1918,3.17229999999998,39,0.205300000000022,0.00540263157894796,1
"70",1920,1962,3.8639,43,0.360899999999987,0.00859285714285683,1
"71",1964,1999,3.2997,36,0.2851,0.00814571428571428,1
"72",2000,2043,2.70420000000001,44,0.228799999999978,0.00532093023255764,1
"73",2045,2079,3.48830000000001,35,0.219400000000007,0.00645294117647081,1
"74",2081,2108,1.95169999999999,28,0.29249999999999,0.010833333333333,1
"75",2109,2147,2.55380000000002,39,0.190399999999983,0.00501052631578902,1
"76",2148,2192,4.15200000000002,45,0.277599999999978,0.00630909090909042,1
"77",2195,2224,2.88230000000001,30,0.1661,0.00572758620689656,1
"78",2225,2227,0.073599999999999,3,0.0343000000000018,0.0171500000000009,1
"79",2228,2248,1.77199999999999,21,0.168200000000013,0.00841000000000065,1
"80",2251,2285,2.358,35,0.232299999999981,0.00683235294117591,1
"81",2286,2288,0.0808000000000106,3,0.007000000000005,0.0035000000000025,1
"82",2289,2318,2.84269999999998,30,0.153300000000002,0.00528620689655178,1
"83",2320,2322,0.289900000000017,3,0.00979999999998427,0.00489999999999213,1
"84",2323,2355,3.3081,33,0.253500000000003,0.00792187500000008,1
"85",2356,2363,0.647400000000005,8,0.0260000000000105,0.00371428571428721,1
"86",2364,2393,1.8449,30,0.198599999999999,0.00684827586206893,1
"87",2394,2431,2.72929999999999,38,0.30540000000002,0.0082540540540546,1
"88",2432,2440,0.775999999999982,9,0.0260000000000105,0.00325000000000131,1
"89",2441,2476,3.35329999999999,36,0.234800000000007,0.00670857142857163,1
"90",2479,2517,2.91460000000001,39,0.288699999999977,0.00759736842105203,1
"91",2518,2546,3.48180000000002,29,0.201699999999988,0.00720357142857101,1
"92",2547,2549,0.0652000000000044,3,0.0144999999999982,0.00724999999999909,1
"93",2551,2590,3.27070000000001,40,0.279599999999988,0.00716923076923046,1
"94",2592,2595,0.571500000000015,4,0.0113999999999805,0.00379999999999351,1
"95",2596,2632,3.62110000000001,37,0.225999999999999,0.00627777777777775,1
"96",2636,2664,2.54769999999999,29,0.15100000000001,0.00539285714285752,1
"97",2665,2668,0.0749999999999886,4,0.0567000000000064,0.0189000000000021,1
"98",2669,2692,1.5035,24,0.154899999999998,0.00673478260869556,1
"99",2695,2731,4.1386,37,0.183500000000009,0.00509722222222248,1
"100",2732,2735,0.0722000000000094,4,0.0574000000000012,0.0191333333333337,1
"101",2737,2779,2.78379999999999,43,0.336000000000013,0.0080000000000003,1
"102",2780,2822,4.67409999999998,43,0.249400000000009,0.00593809523809544,1
"103",2823,2825,0.118400000000008,3,0.0562999999999931,0.0281499999999966,1
"104",2827,2860,3.59020000000001,34,0.14349999999996,0.00434848484848365,1
"105",2862,2890,1.95660000000004,29,0.152600000000007,0.00545000000000024,1
"106",2891,2924,2.3109,34,0.213300000000004,0.00646363636363648,1
"107",2927,2931,0.240099999999984,5,0.0156000000000063,0.00390000000000157,1
"108",2932,2967,2.75,36,0.225799999999992,0.00645142857142836,1
"109",2969,2973,0.268599999999992,5,0.011099999999999,0.00277499999999975,1
"110",2974,2999,1.90730000000002,26,0.197099999999978,0.00788399999999911,1
"111",3000,3036,3.61990000000003,37,0.20939999999996,0.00581666666666554,1
"112",3037,3041,0.248100000000022,5,0.0179999999999723,0.00449999999999307,1
"113",3042,3083,2.70550000000003,42,0.253699999999981,0.00618780487804831,1
"114",3085,3113,3.38780000000003,29,0.258699999999976,0.00923928571428486,1
"115",3114,3146,4.39580000000001,33,0.206500000000005,0.00645312500000017,1
"116",3147,3149,0.0713999999999828,3,0.00540000000000873,0.00270000000000437,1
"117",3152,3186,2.40339999999998,35,0.123300000000029,0.00362647058823614,1
"118",3187,3190,0.0724999999999909,4,0.0785000000000196,0.0261666666666732,1
"119",3192,3216,1.69,25,0.226299999999981,0.00942916666666586,1
"120",3217,3242,2.10739999999998,26,0.197400000000016,0.00789600000000064,1
"121",3243,3273,2.33019999999999,31,0.202200000000005,0.00674000000000016,1
"122",3276,3302,2.80040000000002,27,0.206999999999994,0.00796153846153822,1
"123",3305,3343,2.86529999999999,39,0.176400000000001,0.00464210526315792,1
